hr,M0_count,M1_count
0,330.0,422.0
1,193.0,263.0
2,182.0,200.0
3,235.0,200.0
4,411.0,312.0
5,987.0,905.0
6,2610.0,3305.0
7,3976.0,5358.0
8,3529.0,4407.0
9,3245.0,4380.0
10,2972.0,3709.0
11,3157.0,3981.0
12,3176.0,3689.0
13,3236.0,3713.0
14,3135.0,3591.0
15,3463.0,3736.0
16,3776.0,3989.0
17,3633.0,4053.0
18,3176.0,3651.0
19,2305.0,2705.0
20,1654.0,1847.0
21,1305.0,1346.0
22,909.0,1020.0
23,561.0,594.0
24,279.0,296.0
25,200.0,178.0
26,166.0,202.0
27,249.0,246.0
28,364.0,349.0
29,997.0,914.0
30,2699.0,3470.0
31,3841.0,4879.0
32,3270.0,3119.0
33,2975.0,3506.0
34,2776.0,3550.0
35,2851.0,3658.0
36,2991.0,3861.0
37,2984.0,3692.0
38,3076.0,3596.0
39,3381.0,3893.0
40,3795.0,4068.0
41,3576.0,3586.0
42,3089.0,3424.0
43,2320.0,2691.0
44,1644.0,1749.0
45,1336.0,1360.0
46,1111.0,1134.0
47,583.0,671.0
48,320.0,358.0
49,194.0,254.0
50,220.0,275.0
51,266.0,304.0
52,323.0,362.0
53,943.0,974.0
54,2558.0,3434.0
55,4120.0,5313.0
56,3370.0,3225.0
57,3072.0,3777.0
58,2816.0,3752.0
59,2837.0,3805.0
60,3102.0,3927.0
61,3104.0,3761.0
62,3061.0,3682.0
63,3505.0,3574.0
64,3892.0,3544.0
65,3741.0,3955.0
66,3287.0,3705.0
67,2243.0,2642.0
68,1832.0,2010.0
69,1384.0,1527.0
70,1032.0,1111.0
71,632.0,660.0
72,329.0,354.0
73,234.0,210.0
74,238.0,238.0
75,236.0,286.0
76,343.0,364.0
77,926.0,910.0
78,2610.0,3431.0
79,4044.0,5671.0
80,3444.0,3628.0
81,3145.0,3359.0
82,2866.0,3733.0
83,2985.0,3629.0
84,3083.0,3699.0
85,3117.0,3781.0
86,3148.0,3640.0
87,3430.0,3744.0
88,3624.0,4109.0
89,3526.0,4227.0
90,3332.0,3643.0
91,2711.0,3131.0
92,1980.0,2046.0
93,1568.0,1850.0
94,1216.0,1429.0
95,845.0,964.0
96,406.0,593.0
97,266.0,343.0
98,217.0,248.0
99,272.0,337.0
100,456.0,431.0
101,928.0,917.0
102,2392.0,3281.0
103,3658.0,4975.0
104,3351.0,4379.0
105,3150.0,3728.0
106,3227.0,4100.0
107,3264.0,4126.0
108,3467.0,3975.0
109,3515.0,4041.0
110,3531.0,4331.0
111,3862.0,4174.0
112,3763.0,4594.0
113,3793.0,4494.0
114,3090.0,3472.0
115,2708.0,3373.0
116,2229.0,2407.0
117,1560.0,1964.0
118,1423.0,1736.0
119,1208.0,1235.0
120,702.0,735.0
121,427.0,555.0
122,394.0,433.0
123,418.0,429.0
124,465.0,451.0
125,561.0,552.0
126,1070.0,1208.0
127,1602.0,2170.0
128,2366.0,2668.0
129,3070.0,3953.0
130,3511.0,4253.0
131,3932.0,4592.0
132,3948.0,4509.0
133,4119.0,4841.0
134,3296.0,3466.0
135,3402.0,3814.0
136,3466.0,3796.0
137,3420.0,4091.0
138,3338.0,4284.0
139,2576.0,3379.0
140,1750.0,2303.0
141,1551.0,1726.0
142,1449.0,1669.0
143,1107.0,1370.0
144,887.0,986.0
145,624.0,610.0
146,491.0,585.0
147,461.0,453.0
148,369.0,336.0
149,345.0,333.0
150,731.0,777.0
151,953.0,1085.0
152,1196.0,1441.0
153,1881.0,2028.0
154,2760.0,3082.0
155,3295.0,4034.0
156,3544.0,4324.0
157,3666.0,4499.0
158,3286.0,4066.0
159,3155.0,3662.0
160,3082.0,3368.0
161,2791.0,3351.0
162,2564.0,2912.0
163,2141.0,2416.0
164,1634.0,1837.0
165,1196.0,1214.0
166,839.0,866.0
167,525.0,551.0
